会社名,電話番号,メールアドレス,お問い合わせフォームURL,担当者,ステータス,事業内容,売上規模,創業年数,上場区分,チケットツール,メモ,業種,ランク,イベント規模,主催者,LINE公式,LINE公式アカウント情報,判定根拠
TEAMパフォーマンスラボ,052-398-5551,info@office-p-labo.com,https://p-labo.jp/team/contact/,,,自主事業として公演を企画・主催,,,,,,文化事業・公演主催,,,〇,,,自主公演を主催しチケットを自社販売、公式サイトで確認。LINE公式は未確認
あくろばっと☆カンパニー飛天,03-3630-7085,info@acrobat-hiten.com,,,,自主事業として公演を企画・主催,,,,,,文化事業・公演主催,,,〇,,,自主公演を主催しチケットを自社販売、公式サイトで確認。LINE公式は未確認
アンサンブル・レネット,06-4305-0444,rainette@as.airnet.ne.jp,,,,自主事業として公演を企画・主催,,,,,,文化事業・公演主催,,,〇,,,自主公演を主催しチケットを自社販売、公式サイトで確認。LINE公式は未確認
スタジオ・ポラーノ,042-382-0150,info@polano.net,,,,自主事業として公演を企画・主催,,,,,,文化事業・公演主催,,,〇,,,自主公演を主催しチケットを自社販売、公式サイトで確認。LINE公式は未確認
リーフ企画,,leafkikaku@gmail.com,https://www.leaf-kikaku.com/toiawase/index.html,,,自主事業として公演を企画・主催,,,,,,文化事業・公演主催,,,〇,,,自主公演を主催しチケットを自社販売、公式サイトで確認。LINE公式は未確認
劇団あとむ,,atomw@pop12.odn.ne.jp,,,,自主事業として公演を企画・主催,,,,,,文化事業・公演主催,,,〇,,,自主公演を主催しチケットを自社販売、公式サイトで確認。LINE公式は未確認
国際サーカス村協会,090-3008-7738,info@mysite.com,https://www.circus-mura.net/contact,,,自主事業として公演を企画・主催,,,,,,文化事業・公演主催,,,〇,,,自主公演を主催しチケットを自社販売、公式サイトで確認。LINE公式は未確認
東京ミュージカルアンサンブル,080-8868-6744,tme.kunio0220@gmail.com,https://www.tmetheater.com,,,自主事業として公演を企画・主催,,,,,,文化事業・公演主催,,,〇,,,自主公演を主催しチケットを自社販売、公式サイトで確認。LINE公式は未確認
民族芸能アンサンブル若駒,06-6926-1244,geinou@wakakoma.co.jp,https://www.wakakoma.co.jp/toiawase.html,,,自主事業として公演を企画・主催,,,,,,文化事業・公演主催,,,〇,,,自主公演を主催しチケットを自社販売、公式サイトで確認。LINE公式は未確認
演技集団朗,03-6672-1188,info@ro-pro.co.jp,https://www.ro-pro.co.jp/pastperformances.html,,,自主事業として公演を企画・主催,,,,,,文化事業・公演主催,,,〇,,,自主公演を主催しチケットを自社販売、公式サイトで確認。LINE公式は未確認
姫路労音,079-290-5522,himejirouon@hotmail.com,,,,会員制で音楽公演を企画・主催、例会の運営,,,,,,音楽鑑賞団体,,,〇,,,会員制の音楽鑑賞団体。例会公演を自主主催、全国労音一覧の連絡先で確認
宇部音楽鑑賞協会,0836-34-2384,ubeonkan0426@yahoo.co.jp,,,,会員制で音楽公演を企画・主催、例会の運営,,,,,,音楽鑑賞団体,,,〇,,,会員制の音楽鑑賞団体。例会公演を自主主催、全国労音一覧の連絡先で確認
宍粟労音,0790-62-5681,ueda.190406@outlook.jp,,,,会員制で音楽公演を企画・主催、例会の運営,,,,,,音楽鑑賞団体,,,〇,,,会員制の音楽鑑賞団体。例会公演を自主主催、全国労音一覧の連絡先で確認
帯広音楽鑑賞協会,0155-23-9480,onkan@netbeet.ne.jp,,,,会員制で音楽公演を企画・主催、例会の運営,,,,,,音楽鑑賞団体,,,〇,,,会員制の音楽鑑賞団体。例会公演を自主主催、全国労音一覧の連絡先で確認
所沢労音,04-2968-5239,tokorozawaroon@jcom.home.ne.jp,,,,会員制で音楽公演を企画・主催、例会の運営,,,,,,音楽鑑賞団体,,,〇,,,会員制の音楽鑑賞団体。例会公演を自主主催、全国労音一覧の連絡先で確認
東京労音,03-5273-0801,tokyo@ro-on.jp,,,,会員制で音楽公演を企画・主催、例会の運営,,,,,,音楽鑑賞団体,,,〇,,,会員制の音楽鑑賞団体。例会公演を自主主催、全国労音一覧の連絡先で確認
松山市民コンサート,089-931-1366,matsucon50@aqr.e-catv.ne.jp,,,,会員制で音楽公演を企画・主催、例会の運営,,,,,,音楽鑑賞団体,,,〇,,,会員制の音楽鑑賞団体。例会公演を自主主催、全国労音一覧の連絡先で確認
虹の音楽鑑賞会,0485-74-7075,nijion@niji-onkan.com,,,,会員制で音楽公演を企画・主催、例会の運営,,,,,,音楽鑑賞団体,,,〇,,,会員制の音楽鑑賞団体。例会公演を自主主催、全国労音一覧の連絡先で確認
赤穂労音,079-142-9575,yuyumuron@ybb.ne.jp,,,,会員制で音楽公演を企画・主催、例会の運営,,,,,,音楽鑑賞団体,,,〇,,,会員制の音楽鑑賞団体。例会公演を自主主催、全国労音一覧の連絡先で確認
