会社名,電話番号,メールアドレス,お問い合わせフォームURL,担当者,ステータス,事業内容,売上規模,創業年数,上場区分,チケットツール,メモ,業種,ランク,イベント規模,主催者,LINE公式,LINE公式アカウント情報,判定根拠
一般社団法人日本太鼓連盟,03-6205-4377,info@nippon-taiko.or.jp,https://nippon-taiko.or.jp/contact/,,,和太鼓公演の企画・制作・主催,,14年,,,,和太鼓,S,,〇,〇,https://line.me/R/ti/p/@120gkfgg,自主公演・全国ツアーを主催、公式サイトで確認。LINE公式への導線を確認
公益財団法人富山市民文化事業団,076-445-5511,asnet@aubade.or.jp,https://www.aubade.or.jp/contactlist/,,,自主事業として公演を企画・主催,,44年,,,,文化事業・公演主催,S,,〇,〇,https://lin.ee/tMw0I8f,自主公演を主催しチケットを自社販売、公式サイトで確認。LINE公式への導線を確認
東京室内歌劇場,03-5642-2267,info@chamber-opera.jp,https://chamber-opera.jp/performance/,,,オペラ・合唱公演の企画・主催,,13年,,,,オペラ・合唱,,,〇,,,自主公演を主催しチケットを自団体で販売、公式サイトで確認。LINE公式は未確認
Kバレエトウキョウ,03-3234-9999,audition.company@k-ballet.co.jp,https://www.k-ballet.co.jp/performance/,,,バレエ・舞踊公演の企画・制作・主催,,3年,,,,バレエ・舞踊,,,〇,,,自主公演を主催しチケットを自団体で販売、公式サイトで確認。LINE公式は未確認
公益財団法人東京シティ・バレエ団,03-6666-0390,contact@tokyocityballet.org,https://www.tokyocityballet.org/contact/,,,バレエ・舞踊公演の企画・制作・主催,,,,,,バレエ・舞踊,,,〇,,,自主公演を主催しチケットを自団体で販売、公式サイトで確認。LINE公式は未確認
公益財団法人現代舞踊協会,03-5457-7731,office@gendaibuyou.or.jp,https://www.gendaibuyou.or.jp/contact/inquiry.php,,,も充実し、文化庁や東京都の助成金を受けるに及んで国の認める法人組織へと移行する必要に迫られ、1972年「社団法人現代,,,,,,バレエ・舞踊,,,〇,,,自主公演を主催しチケットを自団体で販売、公式サイトで確認。LINE公式は未確認
一般社団法人伶楽舎,03-5269-2011,info@reigakusha.com,,,,伝統芸能の自主公演の企画・主催,,7年,,,,伝統芸能,,,〇,,,定期公演を自主主催しチケットを自団体で販売、公式サイトで確認。LINE公式は未確認
一般財団法人金剛能楽堂財団,075-213-0367,kongou@isis.ocn.ne.jp,https://kongou-net.com/inquiry/index.html,,,伝統芸能の自主公演の企画・主催,,,,,,伝統芸能,,,〇,,,定期公演を自主主催しチケットを自団体で販売、公式サイトで確認。LINE公式は未確認
公益財団法人日本モンキーセンター,0568-61-2327,info@j-monkey.jp,https://www.j-monkey.jp/press/index.html,,,施設の運営、催事の企画・実施,,,,,,園館・公園,,,,,,施設の催事を自主企画、入場券を自館で販売、公式サイトで確認。LINE公式は未確認
一般社団法人全日本吹奏楽連盟,03-3234-6028,info@ajba.or.jp,https://www.ajba.or.jp/00ajba/07_pdf/toiawasenituite.pdf,,,自主事業として公演を企画・主催,,87年,,,,文化事業・公演主催,,,〇,,,自主公演を主催しチケットを自社販売、公式サイトで確認。LINE公式は未確認
公益社団法人全国公立文化施設協会,03-5565-3030,culture-XXX-@zenkoubun.jp,,,,事業報告 正会員施設状況 会員名簿 入会のご案内 ご寄附のお願い アクセス 重要なお知らせ 2026/07/01 会,,65年,,,,文化事業・公演主催,,,〇,,,自主公演を主催しチケットを自社販売、公式サイトで確認。LINE公式は未確認
公益社団法人日本奇術協会,03-3204-9933,mom@magic.or.jp,,,,自主事業として公演を企画・主催,,,,,,文化事業・公演主催,,,〇,,,自主公演を主催しチケットを自社販売、公式サイトで確認。LINE公式は未確認
公益財団法人サラマンカホール,058-277-1110,Kiika2012@outlook.jp,https://salamanca.gifu-fureai.jp/contact,,,自主事業として公演を企画・主催,,50年,,,,文化事業・公演主催,,,〇,,,自主公演を主催しチケットを自社販売、公式サイトで確認。LINE公式は未確認
公益財団法人セゾン文化財団,03(3535)5566,apply27@saison.or.jp,https://www.saison.or.jp/application#p16571,,,(400字以内) ※企画名、企画内容、実施期間、開催地、会場をご記載ください。 申請者の活動歴（申請を希望する事業に,,39年,,,,文化事業・公演主催,,,〇,,,自主公演を主催しチケットを自社販売、公式サイトで確認。LINE公式は未確認
公益財団法人品川文化振興事業団,03-5479-4112,magazine@shinagawa-culture.info,https://www.shinagawa-culture.or.jp/about/inquiry/index.html,,,1 区民の文化芸術の振興に資する公演・展覧会等の事業の企画・実施 （1）公演事業 コンサート、品川区民芸術祭など （,,,,,,文化事業・公演主催,,,〇,,,自主公演を主催しチケットを自社販売、公式サイトで確認。LINE公式は未確認
公益財団法人大和市国際化協会,046-263-0211,koho@yamato-bunka.jp,https://www.yamato-bunka.jp/information/,,,自主事業として公演を企画・主催,,,,,,文化事業・公演主催,,,〇,,,自主公演を主催しチケットを自社販売、公式サイトで確認。LINE公式は未確認
公益財団法人小田急財団,046-236-2577,o-zaidan@odakyu-dentetsu.co.jp,https://www.odakyu-zaidan.or.jp/about/#contact,,,自主事業として公演を企画・主催,,,,,,文化事業・公演主催,,,〇,,,自主公演を主催しチケットを自社販売、公式サイトで確認。LINE公式は未確認
公益財団法人朝日新聞文化財団,03-6269-9441,jimukyoku@asahizaidan.or.jp,https://www.asahizaidan.or.jp/inquiry/index.html,,,自主事業として公演を企画・主催,,,,,,文化事業・公演主催,,,〇,,,自主公演を主催しチケットを自社販売、公式サイトで確認。LINE公式は未確認
公益財団法人東急財団,03-3477-6301,foundation@tkk.tokyu.co.jp,,,,自主事業として公演を企画・主催,,16年,,,,文化事業・公演主催,,,〇,,,自主公演を主催しチケットを自社販売、公式サイトで確認。LINE公式は未確認
公益財団法人花王芸術・科学財団,03-3660-7055,zaidan@kao-foundation.or.jp,https://www.kao-foundation.or.jp/art/music_performance/,,,美術館等が開催する美術展覧会への助成 音楽を中心とした舞台芸術公演への助成 芸術文化及び科学技術に係わる研究への助成,,36年,,,,文化事業・公演主催,,,〇,,,自主公演を主催しチケットを自社販売、公式サイトで確認。LINE公式は未確認
公益財団法人荒川区芸術文化振興財団,03-3802-7111,accinfo@acc-arakawa.jp,https://www.acc-arakawa.jp/contact/,,,芸術文化振興のため情報提供及び相談事業 芸術文化振興のための人材育成に関する事業 芸術文化振興のための地域活動支援に,,,,,,文化事業・公演主催,,,〇,,,自主公演を主催しチケットを自社販売、公式サイトで確認。LINE公式は未確認
公益財団法人葛飾区文化施設財団,03-5670-2222,intl@k-mil.gr.jp,https://www.k-mil.gr.jp/symphony-club/form.html,,,自主事業として公演を企画・主催,,,,,,文化事業・公演主催,,,〇,,,自主公演を主催しチケットを自社販売、公式サイトで確認。LINE公式は未確認
公益財団法人那覇市文化協会,098-861-7810,nahart@city.naha.lg.jp,https://www.nahart.jp/performance/,,,自主事業として公演を企画・主催,,,,,,文化事業・公演主催,,,〇,,,自主公演を主催しチケットを自社販売、公式サイトで確認。LINE公式は未確認
公益財団法人長崎市地域振興公社,095-823-7281,info_philnag@yahoo.co.jp,https://www.brickhall.jp/about_us/inquiry/,,,自主事業として公演を企画・主催,,,,,,文化事業・公演主催,,,〇,,,自主公演を主催しチケットを自社販売、公式サイトで確認。LINE公式は未確認
公益財団法人高松市文化芸術財団,087-825-5000,info@sunport-hall.jp,https://www.sunport-hall.jp/inquiry/,,,市民の自主的な文化芸術活動に対する支援、育成に関する事業 市民の文化芸術活動への参加促進および鑑賞機会の提供に関する,,23年,,,,文化事業・公演主催,,,〇,,,自主公演を主催しチケットを自社販売、公式サイトで確認。LINE公式は未確認
公益財団法人鹿児島市文化振興財団,099-227-1932,southern@k-kb.or.jp,,,,] 当財団では、設立の目的を達成するために次のような事業を行っています。 教育文化施設の管理及び運営に関する事業 学,,29年,,,,文化事業・公演主催,,,〇,,,自主公演を主催しチケットを自社販売、公式サイトで確認。LINE公式は未確認
いずも演劇鑑賞会,01470-6-2747,enkan@ms11.megaegg.ne.jp,,,,会員制で演劇公演を企画・主催、例会の運営,,,,,,演劇鑑賞団体,,,〇,,,会員制の演劇鑑賞団体。例会公演を自主主催しチケットを自団体で扱う。LINE公式は未確認
